Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
261,165,165,-1050000000000,0,0,0,0,88403168784000,87353168784000,0,0
262,168,169,0,0,0,0,0,97205687103000,97205687103000,0,0
263,172,172,-3162707625000,0,0,0,0,97206317103000,94043609478000,0,0
264,159,159,-787500000,0,0,0,0,93822114435000,93821326935000,0,0
265,145,145,-1970550876000,0,0,0,0,92400000000000,90429449124000,0,0
266,151,151,-1782513138000,0,0,0,0,94565256660000,92782743522000,0,0
267,145,145,-565740000000,0,0,0,0,93349743522000,92784003522000,0,0
268,160,160,-1323000000000,0,0,0,0,88946941818000,87623941818000,0,0
269,160,160,0,0,0,0,0,97274896845000,97274896845000,0,0
270,163,164,0,0,0,0,0,105000000000000,105000000000000,0,0
271,167,167,630000000,0,0,0,0,98810051088000,98810681088000,0,0
272,174,174,-888560862000,0,0,0,0,97274896845000,96386335983000,0,0
273,165,165,-413833623000,0,0,0,0,86754959508000,86341125885000,0,0
274,160,160,-924000000,0,0,0,0,104595181803000,104594257803000,0,0
275,156,156,-357000000000,0,0,0,0,101415421653000,101058421653000,0,0
276,167,167,0,0,0,0,0,105396465846000,105396465846000,0,0
277,138,138,0,0,0,0,0,108495154761000,108495154761000,0,0
278,155,155,706204233000,0,0,0,0,108494524761000,109200728994000,0,0
279,165,165,-1636573113000,0,0,0,0,112708312311000,111071739198000,0,0
280,163,164,-6514200000,0,0,0,0,101252054442000,101245540242000,0,0
281,166,166,-2099370000000,0,0,0,0,103345540242000,101246170242000,0,0
282,162,162,-630000000,0,0,0,0,97984429620000,97983799620000,0,0
283,167,167,209370000000,0,0,0,0,105218131641000,105427501641000,0,0
284,163,163,-630000000,0,0,0,0,101378692590000,101378062590000,0,0
285,157,157,-808984554000,0,0,0,0,104425517700000,103616533146000,0,0
286,166,166,-356370000000,0,0,0,0,97085032086000,96728662086000,0,0
287,157,157,-1049979000000,0,0,0,0,92328199047000,91278220047000,0,0
288,146,146,0,0,0,0,0,82325039307000,82325039307000,0,0
289,161,162,-630000000,0,0,0,0,81162114117000,81161484117000,0,0
290,162,162,1050000000000,0,0,0,0,81466468461000,82516468461000,0,0
291,170,170,0,0,0,0,0,89600469588000,89600469588000,0,0
292,151,151,415320087000,0,0,0,0,93649557561000,94064877648000,0,0
293,164,164,-567000000,0,0,0,0,91260674316000,91260107316000,0,0
294,155,155,0,0,0,0,0,89169372138000,89169372138000,0,0
295,165,165,-134580621000,0,0,0,0,99241309335000,99106728714000,0,0
296,171,171,-2021694024000,0,0,0,0,119888882085000,117867188061000,0,0
297,172,172,-680461698000,0,0,0,0,128148072927000,127467611229000,0,0
298,160,160,-747608946000,0,0,0,0,128147757927000,127400148981000,0,0
299,153,153,-6480451152000,0,0,0,0,136175571945000,129695120793000,0,0
300,163,163,-630000000,0,0,0,0,132132787017000,132132157017000,0,0
301,172,172,-5686083480000,0,0,0,0,147000000000000,141313916520000,0,0
302,167,167,0,0,0,0,0,135060494814000,135060494814000,0,0
303,169,169,-520528701000,0,0,0,0,151263174342000,150742645641000,0,0
304,158,158,14700000000,0,0,0,0,144357374637000,144372074637000,0,0
305,162,162,-418312965000,0,0,0,0,133424392542000,133006079577000,0,0
306,160,160,-376740000000,0,0,0,0,130404463938000,130027723938000,0,0
307,165,165,-588000000000,0,0,0,0,131389376412000,130801376412000,0,0
308,172,173,-7350000000,0,0,0,0,124630363179000,124623013179000,0,0
309,159,159,-734244000000,0,0,0,0,110932350732000,110198106732000,0,0
310,158,158,0,0,0,0,0,110198106732000,110198106732000,0,0
311,166,166,-147000000000,0,0,0,0,116834509638000,116687509638000,0,0
312,166,166,14700000000,0,0,0,0,121034280780000,121048980780000,0,0
313,164,164,-2065967316000,0,0,0,0,123211481736000,121145514420000,0,0
314,163,163,-1035300000000,0,0,0,0,111915707673000,110880407673000,0,0
315,163,163,-14700000000,0,0,0,0,115817746716000,115803046716000,0,0
316,167,167,-29400000000,0,0,0,0,123656703660000,123627303660000,0,0
317,159,159,-497117439000,0,0,0,0,125351202228000,124854084789000,0,0
318,163,163,-3778254228000,0,0,0,0,128617639017000,124839384789000,0,0
319,159,159,-1675457280000,0,0,0,0,124118595048000,122443137768000,0,0
320,154,154,-3052772772000,0,0,0,0,123113808678000,120061035906000,0,0
321,144,144,-1208822538000,0,0,0,0,120061035906000,118852213368000,0,0
322,151,151,-428607396000,0,0,0,0,116246354112000,115817746716000,0,0
323,157,157,-209999979000,0,0,0,0,109063033821000,108853033842000,0,0
324,64,64,4034146656096,0,0,0,0,105589665972000,109623812628096,0,0
325,34,34,0,0,0,0,0,105385745913000,105385745913000,0,0
326,30,30,-21143157672000,0,0,0,0,139674617292000,118531459620000,0,0
327,67,67,-8555652945000,0,0,0,0,119094288495000,110538635550000,0,0
328,129,130,0,0,0,0,0,110538635550000,110538635550000,0,0
329,156,156,14700000000,0,0,0,0,115130006313000,115144706313000,0,0
330,156,157,14700000000,0,0,0,0,106820324079000,106835024079000,0,0
331,158,158,-3902020857000,0,0,0,0,118063279362000,114161258505000,0,0
332,163,163,357000000000,0,0,0,0,111099413481000,111456413481000,0,0
333,158,159,14700000000,0,0,0,0,111752670624000,111767370624000,0,0
334,157,157,0,0,0,0,0,108685658844000,108685658844000,0,0
335,150,150,-368368728000,0,0,0,0,108262140063000,107893771335000,0,0
336,158,159,0,0,0,0,0,104724772635000,104724772635000,0,0
337,165,165,0,0,0,0,0,104677012209000,104677012209000,0,0
338,165,165,-7997460408000,0,0,0,0,115811952354000,107814491946000,0,0
339,157,157,0,0,0,0,0,113179519908000,113179519908000,0,0
340,159,160,0,0,0,0,0,109307510424000,109307510424000,0,0
341,161,161,-335580000000,0,0,0,0,109151179305000,108815599305000,0,0
342,160,160,-14700000000,0,0,0,0,128918275647000,128903575647000,0,0
343,172,172,0,0,0,0,0,130883457012000,130883457012000,0,0
344,174,174,14700000000,0,0,0,0,124046925828000,124061625828000,0,0
345,164,164,-184800000000,0,0,0,0,125354123748000,125169323748000,0,0
346,154,155,-14700000000,0,0,0,0,115731869295000,115717169295000,0,0
347,163,164,-1578590244000,0,0,0,0,117295759539000,115717169295000,0,0
348,157,158,-14700000000,0,0,0,0,124162115826000,124147415826000,0,0
349,156,156,3570000000,0,0,0,0,132429370563000,132432940563000,0,0
350,134,134,11130000000,0,0,0,0,132368705805000,132379835805000,0,0
351,152,153,0,0,0,0,0,121179263163000,121179263163000,0,0
352,162,162,14700000000,0,0,0,0,121815623916000,121830323916000,0,0
353,150,150,0,0,0,0,0,113703415392000,113703415392000,0,0
354,162,162,-14700000000,0,0,0,0,115210348827000,115195648827000,0,0
355,157,157,-718671009000,0,0,0,0,113130804717000,112412133708000,0,0
356,157,157,-2895561942000,0,0,0,0,115292995650000,112397433708000,0,0
357,160,160,160650000000,0,0,0,0,122614334850000,122774984850000,0,0
358,160,160,0,0,0,0,0,120307582374000,120307582374000,0,0
359,152,152,-1957198992000,0,0,0,0,124500666444000,122543467452000,0,0
360,158,159,14700000000,0,0,0,0,121774504404000,121789204404000,0,0
361,153,154,532980000000,0,0,0,0,125071353099000,125604333099000,0,0
362,154,154,-1904700000000,0,0,0,0,116927000148000,115022300148000,0,0
363,155,156,0,0,0,0,0,121890895791000,121890895791000,0,0
364,157,157,-830013996000,0,0,0,0,123588981411000,122758967415000,0,0
365,160,160,-165900000000,0,0,0,0,113322042057000,113156142057000,0,0
366,161,161,14700000000,0,0,0,0,111137182590000,111151882590000,0,0
367,158,158,-14700000000,0,0,0,0,106998862782000,106984162782000,0,0
368,159,160,820434678000,0,0,0,0,111528371241000,112348805919000,0,0
369,151,151,-764419551000,0,0,0,0,111543071241000,110778651690000,0,0
370,163,163,-3802256388000,0,0,0,0,107299936821000,103497680433000,0,0
371,152,152,-6558194832000,0,0,0,0,104677419441000,98119224609000,0,0
372,160,160,-677238660000,0,0,0,0,109094281485000,108417042825000,0,0
373,168,168,0,0,0,0,0,103726940394000,103726940394000,0,0
374,167,168,14700000000,0,0,0,0,108847655301000,108862355301000,0,0
375,157,157,-3253648209000,0,0,0,0,111660197649000,108406549440000,0,0
376,167,168,-1470000000000,0,0,0,0,114822659175000,113352659175000,0,0
377,159,159,0,0,0,0,0,117451982970000,117451982970000,0,0
378,160,160,0,0,0,0,0,114930107691000,114930107691000,0,0
379,158,158,-14700000000,0,0,0,0,121009851417000,120995151417000,0,0
380,164,164,-506731449000,0,0,0,0,117536839140000,117030107691000,0,0
381,158,159,0,0,0,0,0,113048089980000,113048089980000,0,0
382,159,159,22050000000,0,0,0,0,116429737977000,116451787977000,0,0
